epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6048,1.64584,3.43802,3.31976,1.35039,0,0.01303,0.69355,0.2275,0.13845,0.01333,0.70968,0.28102,0.12567,1.06308,2.4302,3.17939,1.08405,0,4e-05,4e-05,4e-05
2,25.9974,1.39882,3.00366,3.32224,1.22453,0,0.01455,0.77419,0.48962,0.32371,0.01545,0.82258,0.5113,0.2851,0.91322,2.0344,3.02105,0.98937,0,9.802e-05,9.802e-05,9.802e-05
3,38.0693,1.19095,2.2313,2.87931,1.09358,0,0.01636,0.87097,0.62137,0.42602,0.01636,0.87097,0.61924,0.38512,0.91698,1.7478,2.93341,0.94212,0,0.000153664,0.000153664,0.000153664
4,50.1299,1.1789,1.9878,2.43977,1.03205,0,0.01636,0.87097,0.69599,0.49588,0.01636,0.87097,0.67489,0.39567,0.84986,1.62587,2.77211,0.87804,0,0.000206932,0.000206932,0.000206932
5,61.8095,0.95626,1.67133,1.84428,0.99087,0,0.10096,0.74194,0.69003,0.49953,0.10096,0.74194,0.67389,0.40329,0.86033,1.64472,2.66245,0.86611,0,0.000257824,0.000257824,0.000257824
6,73.6252,0.99807,1.79826,1.54163,0.93334,0,0.90462,0.6119,0.69556,0.50373,0.90367,0.60534,0.68166,0.40961,0.95712,1.75778,2.36726,0.88484,0,0.00030634,0.00030634,0.00030634
7,85.6206,0.89743,1.58616,1.59593,0.94322,0,0.90512,0.61552,0.67962,0.48843,0.93002,0.64314,0.70355,0.39492,0.96632,1.75622,2.24123,0.89122,0,0.00035248,0.00035248,0.00035248
8,97.6721,0.88438,1.50379,1.56549,0.95507,0,0.92526,0.59907,0.67589,0.45651,0.92564,0.60241,0.69403,0.40201,0.99312,1.70419,2.24612,0.9059,0,0.000396244,0.000396244,0.000396244
9,109.768,0.80547,1.45703,1.3528,0.93761,0,0.93133,0.46774,0.66832,0.43509,0.92696,0.46774,0.70006,0.3951,1.00484,1.77282,2.32516,0.92417,0,0.000437632,0.000437632,0.000437632
10,121.555,0.7952,1.38062,1.3174,0.92115,0,0.96081,0.39557,0.66351,0.41693,0.92162,0.37944,0.64739,0.32077,0.95014,2.37334,2.4033,0.93546,0,0.000476644,0.000476644,0.000476644
11,133.111,0.80239,1.31473,1.54504,0.96632,0,0.95472,0.34011,0.68961,0.43385,1,0.35624,0.70422,0.3765,0.89416,2.0151,2.45496,0.92801,0,0.00051328,0.00051328,0.00051328
12,144.575,0.79202,1.26103,1.33731,0.92225,0,1,0.25413,0.67997,0.45337,1,0.25413,0.71612,0.41196,0.82887,1.76908,2.53518,0.90352,0,0.00054754,0.00054754,0.00054754
13,156.285,0.78417,1.34021,1.32429,0.90711,0,1,0.20382,0.66945,0.46247,1,0.20382,0.72761,0.3947,0.81034,1.80505,2.53884,0.90411,0,0.000579424,0.000579424,0.000579424
14,167.716,0.67704,1.13979,1.24567,0.89544,0,1,0.18535,0.67194,0.44945,1,0.18535,0.71645,0.44867,0.79737,1.53222,2.52865,0.91352,0,0.000608932,0.000608932,0.000608932
15,179.082,0.79458,1.38724,1.51507,0.91973,0,1,0.18535,0.67194,0.44945,1,0.18535,0.71645,0.44867,0.79737,1.53222,2.52865,0.91352,0,0.000636064,0.000636064,0.000636064
16,190.669,0.79561,1.31451,1.28263,0.92122,0,1,0.16677,0.64911,0.41792,1,0.16677,0.68487,0.4644,0.83008,1.35042,2.5612,0.92132,0,0.00066082,0.00066082,0.00066082
